Page,Users,Sessions,Users % of Total,Pageviews,Unique Pageviews,Entrances,Bounce Rate
/catalog/view/doi:10.18739/A2CF9J745,4,3,0.002922,5,5,3,1
/catalog/view/doi:10.18739/A2Z892G3K,4,4,0.002896,12,9,4,0.5
/catalog/view/doi:10.18739/A2H41JN16,4,4,0.00287,4,4,4,1
/catalog/view/urn:uuid:ef07095a-1248-48c4-8eb2-7ff0298edd03,4,4,0.002845,20,7,4,0.25
/catalog/view/doi:10.18739/A27M04114,4,4,0.002821,4,4,4,1
/blog/2020/10/getting-credit-for-data-creation-and-curation/,4,1,0.002797,7,4,1,1
/catalog/view/doi:10.18739/A22R3NX6C,4,4,0.002773,4,4,4,1
/catalog/view/doi:10.22008/promice/data/modis_greenland_albedo,4,1,0.00275,4,4,1,1
/catalog/view/dcx_aa670108-94fe-4047-8686-5faefe9910c6_1,4,3,0.002728,4,4,3,0.666666667
/catalog/view/doi:10.18739/A25X25D07,4,4,0.002706,4,4,4,1
/category/blog/,4,2,0.002685,16,13,2,0.5
/catalog/view/doi:10.18739/A20G3GZ8B,4,2,0.002664,4,4,2,1
/catalog/view/doi:10.18739/A2H41JN6M,4,1,0.002643,7,4,1,1
/catalog/view/doi:10.18739/A2CV4BR73,4,4,0.002623,4,4,4,1
/catalog/view/doi:10.18739/A25H7BV1C,4,3,0.002604,4,4,3,1
/catalog/view/doi:10.18739/A2MW28F51,4,4,0.002584,4,4,4,1
/catalog/view/doi:10.18739/A29K45T24,4,3,0.002566,4,4,3,1
/catalog/portals/CALM,4,2,0.002547,4,4,2,0.5
/catalog/view/dcx_cdabc00b-3f3d-48b9-9935-f6589acd3b97_2,4,2,0.002529,4,4,3,1
/catalog/view/doi:10.18739/A2CR5NB9R,4,4,0.002511,4,4,4,1
/catalog/view/doi:10.18739/A2MG7FW84,4,3,0.002494,4,4,3,1
/catalog/view/doi:10.18739/A2TM72225,4,4,0.002477,5,5,4,1
/catalog/view/doi:10.18739/A2W950P44,4,1,0.00246,8,4,1,1
/catalog/view/doi:10.18739/A21C1TG77,4,2,0.002444,4,4,2,1
/catalog/view/doi:10.18739/A2BG2HB5Z,4,2,0.002428,4,4,2,1
/catalog/view/doi:10.18739/A29S1KM2B,4,2,0.002412,4,4,2,1
